server,keyword,author,date,text
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,"The Superior Potato",2026-01-19,https://vxtwitter.com/n4micanflyx/status/2013253970421039511
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,Doki🌸,2025-08-14,"As long as it's not a web novel or untranslated"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,Wincest,2024-05-01,https://play.google.com/store/apps/details?id=com.niven.translator
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,"CEO of SOL",2024-04-29,"If it’s sold out I can always buy the untranslated editions. I’ll definitely loot at it. : )"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,Autumn,2023-04-15,"But they're untranslated"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We",untranslated,"EvRi | エブリ",2023-04-06,"Yeah... most of the light novels that has the type of dark you're been thinking of is unfortunately unlicensed and untranslated."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","The Superior Potato",2026-03-18,"Here is the information about the light novel series Nourin (also known as No-Rin): Overview  Original Title: のうりん (Nōrin, short for ""Agriculture and Forestry"").,Author: Shirow Shiratori.,Illustrator: Kippu.,Genre: Comedy, Parody, Romance, Seinen.,Status: After a 10-year hiatus, the series is returning for its 14th and final volume, scheduled for release on June 13, 2026. [1, 2, 3, 4], Plot Summary The story follows Kosaku Hata, a student at Tamo Agricultural High School and a devoted fan of the"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Oishik0417,2026-02-18,"If no english I'll leave no problem"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-12-14,"lol. There’s no English LNs so you probably got a fan translation. Who knows how that’s gonna read."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",idk.,2025-12-08,"with no english"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Zeethead,2025-12-01,"maybe it was no english translation yet?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-11-27,"No official English novel but there’s an english manhwa adaptation it seems."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-09-12,"There’s no licensed English version, so no."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-09-12,"There’s no official English title because it’s not officially translated yet."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Jay,2025-06-15,"(No licensed English version yet)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Doki🌸,2025-05-04,"I no english sorry sorry"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",ROo,2024-07-28,"no in old english gay means happy albedo"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","kid darkness",2024-07-02,https://youtu.be/sSnlx1PDehY?si=L5JPydeQdse7Wblo
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","kid darkness",2024-03-30,"No english version?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",ikiru,2024-03-24,"She knows no English and I know no Spanish"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","CEO of SOL",2024-03-04,"Yesss, I just checked Discord before I went to sleep and saw lines of no-English text. pew"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english","Isis Remnant",2024-01-27,"and no official English licence too"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",waripablo,2024-01-04,"but..... theres no translation neither english or spanish(my native speak)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",tyaste,2023-10-31,"And there is no English version"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Nook,2023-10-15,"No English though"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","no english",Demelza,2023-08-27,"Yeah I’ve watched it and read the manga. Not heard it called that given it got licensed as Oshi no Ko in English too"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Callistiues,2026-02-20,"If not then translate"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","Yukitsune Volumia de Bunko🦊",2025-10-16,"Not using proper translations smh"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","Lazy Guy [Tree]",2025-07-22,"It's not bad translation it's just the chapters are in disorder"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Chamaeleontis,2025-06-16,"Name: Chamaeleontis Age: 29 Favorite LNs:  Uh, thats a tough choice;       Finding Avalon: The Quest of a Chaosbringer      Isolator      賭博師は祈らない (Gamblers don't pray, not translated in English afaik) Favorite Manga: World Trigger Favorite Anime: Fate Stay/Night: Unlimited Blade Works Favorite Games: Trails series (Trails of Cold Steel in particular) Favorite VN: Utawarerumono Likes: Outside anime related stuff mainly gaming and coding Dislikes: Load places, drinking A Little About You: I am in"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Rizze,2025-05-16,"not translated yet I guess"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",JN,2025-04-22,"Its english translation not english communication (right?)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Kaiser,2025-02-25,"The same thing happened with the cote manga, uncharacteristic pacing, not so accurate translations, and I think it ultimately got shut down ig"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",wsz_fantasy,2024-12-21,"I wonder why this not translated to English lol, clearly one with almost the highest ratings (編集済)2024年12月21日土曜日 13:55"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","Hoshizora Chi 🌌🌻",2024-09-30,"he's not translating it ig lol"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","CEO of SOL",2024-09-01,"Are the rest not translated as of yet? (編集済)2024年9月1日日曜日 19:58"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","Hoshizora Chi 🌌🌻",2024-07-02,"not the translated ones tho"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","Ainz Sama",2024-06-22,"100% agree  Not the translators fault"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Yuno,2024-06-14,"Was officially translated not so long ago"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","@zzy ᓚᘏᗢ",2024-05-06,"Yes i do try to avoid that are not translated"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",Wincest,2024-04-22,"Or not translated yet (編集済)2024年4月23日火曜日 1:21"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",neko,2024-04-07,"本物 (I'm definitely not google translating this)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated",neko,2024-03-20,"Not completely translated"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","kid darkness",2024-03-17,"that did not translate well"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","not translated","kid darkness",2024-01-27,"Nah this did not translate well"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","wish translated",Duke,2023-08-26,"i do wish theyd translate more side stories too tho"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","wish translated",Luna,2023-06-09,"I can only speak for J>E so the prices may vary for K>E Going rate is either per page (averages around 11-12 USD) or per character (0.04 USD~0.06 USD) So it depends on how many pages there is if the translator wishes to be paid per page or how many characters in total if they wish to be paid per character"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","fan translation",querty,2026-02-15,"Hi, I'm querty, an Ascendance of a Bookworm fan. I'm currently translating an English Ascendance of a Bookworm fanfic Herald of Spring into Chinese!"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","fan translation",Nice,2026-01-15,"someone fan translating that"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","fan translation","@Sam Gehena",2025-11-18,"As a Spanish speaker, we have our own fan translation"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","fan translation","Sam Gehena",2025-11-18,"As a Spanish speaker, we have our own fan translation"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation","Faith Drey",2025-10-27,"I expert in translating manga and webnovel, if you need help in translating you can DM me"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",vexytoz,2025-10-19,"It will still need translating though"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",Doki🌸,2025-01-24,"Fuck rules I need the translation back"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",Kaiser,2024-04-29,"Ya he needed translations only"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation","Katou Megumi",2024-03-30,"It doesn't seem to make sense in Russian. Maybe it's a typo or a mistake in the input. If you need a correct translation, I suggest double-checking the text."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",澪空,2024-01-06,"It generally does not have exceptions, but when you do translation work, you realize, that sometimes you need to offter translation / localization that moves a little bit away from what generally might come to mind first"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",Nook,2023-11-05,"Yeah. I often say that translators need to be good writers too, since some people just think it's replacing words with the other language equivalent, rather than capturing the meaning and making it read well."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",NoaDeeps,2023-10-19,"I heard it needs an English translation."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation","Deleted User",2023-09-22,"Discord needs a translate feature in app"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",brettles,2023-01-11,"Or you could screenshot what you need translated and then feed that into https://translate.yandex.com/ocr"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation","Deleted User",2022-08-03,"I work with almost all sorts of translations (in terms of stylistics and content), however I often end up translating business and media things because I work with various e-shops and companies. Plus I have this long-pending project of mine where I need to translate my own science fiction novel... but it's 1700+ pages, so it's taking me ages to muster the courage to start translating it."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","need translation",Victrola75,2022-08-03,"neat. i asked cause when i was at an anime expo panel on translation one of the panelists said something i found very interesting. someone had kept applying to do manga with them (i forget which pub it was, one of the smaller ones) and he wasn't a right fit but he was really skilled so instead they hooked him up with a friend that needed help translating things that were more technical and less creative. the update was it was it wound up being like the perfect job for him"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",Jay,2026-03-14,"Do you want to try it again now? Here was your message:  Kono Subarashii Sekai ni Shukufuku wo! (KonoSuba) Type: Fantasy Comedy Light Novel Author: Natsume Akatsuki First Publication: October 1, 2013 Publisher: Kadokawa Sneaker Bunko (Japan) Genre: Fantasy, Adventure, Comedy English Version: Volume 1 released on February 21, 2017 Story: Follows Kazuma Satou, a teenager who dies and is transported to a fantasy world, where he embarks on hilarious adventures with Aqua, Megumin, and Darkness IMG_66"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",Mvnic,2026-01-24,"How many English version are out? It’s pretty far behind right"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",tomapple64,2025-12-29,"Ah noble reincarnation is getting an anime? Still sad that it’s light novel doesn’t have an English version in print and it’s only digital"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","Ainz Sama",2025-11-24,"Just finished Re:Monster! Not a lot that was different from the anime, which I watched before the English version of the novel was announced, outside of some additional lore, but it was cool to see all the skills acquired. I recall it being difficult to see the skills in the anime, partially because of how it was presented and partially because Crunchyroll sucks.   Excited to keep reading but the pacing in the first volume seems way too fast. Seems like it’ll slow down a bit though."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",Jay,2025-09-20,"is there an English version of isekai nonbiri nouka?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",Jay,2025-09-08,"There doesn’t seem to be an official English version of the web novel, but the manhua has an English version on tappytoon. https://www.tappytoon.com/en/book/starting-over-as-a-tree"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","Ainz Sama",2025-09-07,"The English version says October 10th for the ebook"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","Ainz Sama",2025-03-02,"Anyone want to discuss this with me? I haven’t experienced something like this before.   Publishers going out of business prior to finishing the localization, yes, but I don’t know that I’ve noticed something like this before where they let the license lapse prior to fully translating and the English version is just gone from the ebook stores.  Did Hanashi enter into a non-standard licensing deal or is this just standard and the large publishers always renew? (編集済)2025年3月3日月曜日 3:54"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","Chaoussu (might get hacked)",2024-11-02,"I tend to just go to novelupdates, find a novel and then scroll down to see which website has the English version of the novel I am looking for. Some of the sites can have wonky translations but at least they're not MTL  Before they used to have links you could click on to get to the promoted website, I don't know why they removed it. So now you have to find the name and google it yourself. Or at least that is how I do it (編集済)2024年11月2日土曜日 13:01"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",Wincest,2024-10-12,"Might be english version?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",Jay,2024-08-21,"Anyone know if this has an english version?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","kid darkness",2024-05-05,"https://youtu.be/upiMiPJ0jdI?si=uZTTwqKZ-2oLQBoS Can you have this running as the bgm in your coffee place"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","CEO of SOL",2024-03-09,"Why did the English version change the name? Or is this different? (編集済)2024年3月9日土曜日 23:40"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version",Nook,2023-12-24,"It's in Japanese, but there's an unofficial English translation patch which I'll be using. Needs a legit copy of the game to use.  The other two games I might try to muddle through with some machine translation help, but I mostly got them just for collection purposes. I own the English version of Shuffle already as a download (from before it got discontinued)"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","kid darkness",2023-12-20,"It's the same way how I feel about great japanese songs getting an english version"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","@Femboy inquisitor",2023-12-20,"There’s an English version? Like she’s singing it in English or it’s a cover?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","english version","Femboy inquisitor",2023-12-20,"There’s an English version? Like she’s singing it in English or it’s a cover?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",querty,2026-03-25,"J-novel Club (A legit publisher, not pirating) https://j-novel.club/"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","The Superior Potato",2025-11-28,"Yeah lmao  ""Searching for 6 hours"", tens of piracy sites come up on just entering the name. Also, as this doesn't have an official english translation, it's even easier to find. (Not that it makes that big of a difference tbh)  Is googling becoming a forgotten art.  Yep, unfortunately. I've seen so many people asking for piracy sites...like PEOPLE YOU HAVE THE INTERNET!! I got the site I'm using in less then a minute lol, just opened up some random reddit thread."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","The Superior Potato",2025-11-20,"I won't mind paying for it if there was a centralized site for it, the best is manga plus but that only has shounen...which I'm not interested in  Not to mention many manga's don't have official translations and some can't be bought online at all, like vagabond, you can only read that manga legally by buying it's physical manga."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","The Superior Potato",2025-11-10,"wuxaiworld for the official translation. they'd probably have what you're looking for"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Shurayuki,2025-09-13,"A lot of translators hired for official work are somewhat famous for not caring or have their own agenda, but that's neither here or there. One of my favourite words that was used in a official translation that no regular people ever use is ""Bogarting"". Please tell me what it means without looking it up. (編集済)2025年9月14日日曜日 0:50"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","Wis. Fle. Hx.",2025-09-10,"Yup, With so many LN titles being released every month, it's quite difficult to get official English translations. T_T"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Ghost,2025-07-30,"Any about its ln official translation?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","Lazy Guy [Tree]",2025-07-22,"Even the official translation is messed up for kumo so oh well hmmmm I'd say Read Kumo  totally not being biased because Shiraori has White hair (編集済)2025年7月23日水曜日 2:29"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","Lazy Guy [Tree]",2025-07-07,"I doubt most manhua's even have an official translation"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Ghost,2025-07-02,"Has anyone read the new orv official eng translation?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","The Amala Network",2025-04-28,"Some. Zero was a LN originally. Kara no Kyoukai/Garden of Sinners was an LN that actually had the first chapter officially translated in the Faust magazine that went nowhere. Fate/Strange Fake by Ryohgo Narita of all people is like a lore crossover with all of Type-Moon. There's also the El Melloi Case Files novels which are a spinoff of Zero but set after Stay Night. There's a few more, but not a single one is officially translated except that 1 chapter of Kara no Kyoukai"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Doki🌸,2025-04-28,"C. Official translation is beyond trash D. You want to read more but the publisher hasn't caught up yet"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","The Amala Network",2025-04-28,"Kinda really learning a lot of what I actually enjoy reading in the LN sphere either A: Only gets fan translated or B: An official translation stops and doesn't continue officially"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Doki🌸,2025-04-22,"From @The Amala Network  TBH most official translations of LNs I personally want to read don't have everything translated for some reason.  Boogiepop only got through vol 6 of 24 and was dropped  Legend of the Galactic Heroes didn't do the 6 side story novels  All of Nisioisin's works stopped before catching up/finishing in English  As a Type-Moon fan, NONE of the series are officially translated light novel wise  Vampire Hunter D stopped at vol 30 and it's at vol 45 or something in Japan curren"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation","The Amala Network",2025-04-22,"Sadly 90% of what I read is either fan translated, or WAS officially translated and either stopped getting new english releases, or only translated the main story volumes"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Azakami,2025-03-23,"this is sad, bochikano's author didn't knew that his work got officially translated"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Ghost,2025-03-16,"I was thinking about how much time will orv take to have official translations"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","official translation",Albedo,2024-08-25,"HMan, I've heard that finding a decent English translation of ""Devil Returns To School Day"" can be quite a challenge. Unfortunately, I'm not aware of any official translations, but I can suggest checking out reputable fan-translation websites or forums, where enthusiasts often share and discuss their own translations."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only","Noobvexia Luminara von Bunko🆕",2025-11-23,"They seem to focus more on some form of character development, and most of their main characters aren't self-inserts like most Japanese mangas, only if we're speaking about the Japanese mangas adapting lgiht novels that is."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only",TheLonelyRex,2025-10-15,"the physical was Japanese only so i had to read it online, but the cover art is wild for the series"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only",Quantum,2024-01-22,"or actual japanese only servers"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only",SmolKat,2024-01-20,"2 questions abt japanese Just, only. Seems like a lot of ways to say this. which do I use when?,一同 vs みんな. Both mean everyone, but I see the latter used MUCH more frequently. When do I use 一同?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only",澪空,2023-12-18,"https://www.amazon.co.jp/gp/product/B082F5B7X1?ref_=dbs_p_pwh_rwt_anx_cl_0&storeType=ebooks ゆびさきと恋々 (a sign of affection), new Anime starting 01/2024; for those that are interested, the first volume of the Manga is free to read on Amazon.co.jp right now. Might be on other Amazon stores as well, but I use the Japanese store only, so I can not tell about other langauge version despite Japanese."
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only",jaksonvip,2023-07-14,"Is light novel a only Japanese thing or do Korean novels count too"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only","Deleted User",2023-05-19,"Do u guys read only Japanese novels?"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only","Deleted User",2023-05-19,"Or only japanese"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only",Victrola75,2023-01-19,"Not enough of it is translated. It makes me sad. Like I guess he did a series about magical girls that's Japanese only. I love magical girls/boys/theys. Get on it localizers"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only","Deleted User",2022-12-23,"the only japanese person I've even encountered where I live was a sarariman on a business trip"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only","Ainz Sama",2022-09-21,"Does anyone know if the name Nazuna has some sort of connection to vampires in Japanese? I only ask because Nazuna from Call of the Night and there’s a vampire named Nazuna in Backstabbed in a backwater dungeon and I want to know if it’s a coincidence or not…"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","japanese only",Demelza,2022-08-26,"So as much as there are a ton of Japanese-only things I wanna yell about, gotta wait for licenses XD"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","can't read japanese","kid darkness",2024-02-16,"It's the only way to get into vagabond for physical manga readers internationally that can't read Japanese"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","can't read japanese",Shizume,2023-12-09,"I can't read japanese like you and taka"
"Light Novel Club 文庫文庫 | LNs, Manga, Anime, Visual Novels, We","can't read japanese",Shizume,2023-12-09,"Can't read japanese"